member_id,content_detail_id,score,similarity,final_score
1,285,2.1361751e-05,0.9863717,0.3945615
1,1138,1.9518086e-05,0.9551347,0.3820656
1,1180,1.94498e-05,0.95068514,0.38028574
2,1011,2.2015653e-05,0.9847737,0.3939227
2,711,2.2015653e-05,0.9418433,0.37675053
2,1249,2.101568e-05,0.9385384,0.37542796
3,630,1.4134501e-05,0.9548703,0.3819566
3,771,1.4398562e-05,0.9305438,0.37222615
3,638,1.4134501e-05,0.92846024,0.3713926
4,762,4.0394694e-05,0.9656206,0.38627246
4,601,4.7694288e-05,0.95988894,0.38398418
4,1233,2.7137023e-05,0.95389384,0.38157383
5,700,1.2785242e-05,0.9393559,0.37575004
5,578,1.2785242e-05,0.93458396,0.37384126
5,1302,1.3840842e-05,0.9305359,0.3722227
6,438,2.7191032e-05,0.9532859,0.38133067
6,822,2.282482e-05,0.94826376,0.37931922
6,457,2.7191032e-05,0.935618,0.3742635
7,1097,2.08626e-05,0.96913195,0.3876653
7,1212,2.544623e-05,0.9514901,0.3806113
7,80,2.08626e-05,0.945143,0.37806973
8,536,1.8309827e-05,0.95412105,0.38165942
8,282,1.8309827e-05,0.95364696,0.3814698
8,266,1.8309827e-05,0.9484389,0.37938654
9,523,1.3394276e-05,0.9489702,0.37959614
9,620,1.3165384e-05,0.94875723,0.3795108
9,410,1.4966615e-05,0.9279391,0.37118462
10,47,1.4191526e-05,0.95905393,0.3836301
10,694,1.4191526e-05,0.9496227,0.3798576
10,862,1.3931263e-05,0.9496227,0.37985742
11,672,4.1873987e-05,0.9272578,0.37092823
11,1090,4.1873987e-05,0.92010736,0.36806807
11,549,3.0456742e-05,0.91713446,0.36687207
12,600,1.2809285e-05,0.966873,0.3867569
12,739,1.6710137e-05,0.94157386,0.37663957
12,84,2.139382e-05,0.9374661,0.37499928
13,19,0.00010774059,0.97021353,0.38815007
13,523,0.00010774059,0.9489702,0.37965274
13,620,9.487227e-05,0.94875723,0.37955981
14,1125,1.3248851e-05,0.99069846,0.39628735
14,174,1.1263893e-05,0.9837511,0.3935072
14,172,1.4370618e-05,0.9837511,0.39350906
15,443,0.00011478978,0.9930639,0.39729446
15,564,0.0001952157,0.9777835,0.39123052
15,498,0.00014010702,0.91024095,0.36418045
16,822,1.25668175e-05,0.9770896,0.3908434
16,491,1.2610914e-05,0.9562761,0.38251802
16,346,1.2846511e-05,0.9457135,0.37829313
17,936,2.5762434e-05,0.93759376,0.375053
17,1135,1.9826635e-05,0.93097156,0.37240052
17,1129,2.08626e-05,0.9289134,0.3715779
18,824,3.6157035e-05,0.98727953,0.39493352
18,422,3.1805554e-05,0.9398167,0.37594578
18,1132,3.0543477e-05,0.9381626,0.3752834
19,157,2.9832032e-05,1.0,0.40001792
19,159,2.9832032e-05,1.0,0.40001792
19,925,2.3060918e-05,0.977097,0.39085263
20,357,3.3165106e-05,0.97388804,0.38957512
20,780,2.8674474e-05,0.9560824,0.38245016
20,382,3.1045347e-05,0.949727,0.37990943
21,925,0.00010077414,0.977097,0.39089927
21,699,0.00014839054,0.97614264,0.39054608
21,15,0.00010644024,0.95876294,0.38356906
22,1212,3.257543e-05,0.9514901,0.3806156
22,80,2.6707652e-05,0.945143,0.37807325
22,1141,3.298022e-05,0.9424187,0.37698728
23,1133,2.3064262e-05,0.9518139,0.3807394
23,355,2.3064262e-05,0.9474387,0.3789893
23,289,2.8481169e-05,0.94575363,0.37831855
24,816,2.101568e-05,0.9689654,0.38759878
24,769,2.0922433e-05,0.96372104,0.38550097
24,693,2.0922433e-05,0.9474683,0.37899986
25,38,2.685261e-05,0.9424293,0.37698784
25,439,2.685261e-05,0.9424187,0.3769836
25,780,2.2015653e-05,0.93581253,0.3743382
26,1133,0.00010214876,0.9518139,0.38078687
26,355,0.00010214876,0.9474387,0.37903678
26,781,9.67111e-05,0.9419319,0.3768308
27,373,2.0057585e-05,0.9886959,0.3954904
27,785,1.1736506e-05,0.96556383,0.38623258
27,310,2.1755848e-05,0.9646131,0.3858583
28,381,1.9882718e-05,0.980133,0.39206514
28,11,1.9518086e-05,0.9707501,0.38831174
28,1252,1.9882718e-05,0.93298936,0.37320766
29,782,3.3165106e-05,0.94380605,0.37754235
29,797,3.1045347e-05,0.9401494,0.3760784
29,1299,3.597313e-05,0.93887156,0.3755702
30,19,1.66838e-05,0.97021353,0.38809544
30,523,1.66838e-05,0.9489702,0.3795981
30,620,1.5357462e-05,0.94875723,0.3795121
31,238,0.00010985718,0.9318101,0.37278995
31,18,0.00011866457,0.92196155,0.36885583
31,855,0.00010985718,0.9171733,0.36693525
32,14,3.357879e-05,0.9489701,0.37960818
32,620,2.6765912e-05,0.9358988,0.37437558
32,1048,1.9467912e-05,0.92201406,0.3688173
33,298,2.6672778e-05,0.99354005,0.39743203
33,381,2.201666e-05,0.9743895,0.38976902
33,11,2.1918971e-05,0.9605313,0.38422567
34,858,0.00076647976,0.9873548,0.3954018
34,1063,0.00076337124,0.97312486,0.38970798
34,1291,0.0010082604,0.9416608,0.3772693
35,254,2.4055604e-05,0.9705153,0.38822055
35,9,2.4590992e-05,0.9591894,0.38369054
35,293,2.8657254e-05,0.9520275,0.3808282
36,73,1.9467912e-05,0.95812964,0.38326356
36,1107,1.9467912e-05,0.94925976,0.3797156
36,1216,3.0957657e-05,0.9470711,0.378847
37,936,1.5301499e-05,0.93759376,0.3750467
37,1135,1.4134501e-05,0.93097156,0.37239712
37,1129,1.4085051e-05,0.9289134,0.37157384
38,254,3.363956e-05,0.9705153,0.3882263
38,9,3.642094e-05,0.9591894,0.38369763
38,293,4.672267e-05,0.9520275,0.38083905
39,822,9.0919886e-05,0.9770896,0.3908904
39,491,5.0226085e-05,0.9562761,0.38254058
39,346,8.2258586e-05,0.9457135,0.37833476
40,1284,1.4398562e-05,0.9825594,0.3930324
40,1153,1.4085051e-05,0.94326437,0.3773142
40,1105,1.6012134e-05,0.9414446,0.37658742
41,866,0.0006847183,0.9837131,0.39389607
41,841,0.0010380009,0.96879405,0.38814044
41,677,0.0008680848,0.96023756,0.3846159
42,202,4.9965918e-05,1.0,0.40003
42,189,4.4716795e-05,1.0,0.40002683
42,1198,4.4716795e-05,0.9457937,0.3783443
43,852,3.074119e-05,0.96015114,0.38407892
43,798,2.4894456e-05,0.9266493,0.37067464
43,786,3.074119e-05,0.92254704,0.36903727
44,906,1.321158e-05,0.96711487,0.38685387
44,849,1.3458398e-05,0.96603847,0.38642347
44,538,1.4302408e-05,0.9590968,0.3836473
45,73,1.2050755e-05,0.95812964,0.38325912
45,1107,1.2050755e-05,0.94925976,0.37971115
45,1216,1.4174349e-05,0.9470711,0.37883693
46,202,4.6779736e-05,1.0,0.40002808
46,188,4.6779736e-05,1.0,0.40002808
46,1198,4.878967e-05,0.9457937,0.37834674
47,534,4.181425e-05,0.96002054,0.38403332
47,660,3.642094e-05,0.9486394,0.37947762
47,904,3.363956e-05,0.9464102,0.37858427
48,294,4.7694288e-05,0.9522869,0.3809434
48,8,3.730986e-05,0.95135725,0.3805653
48,1309,4.0394694e-05,0.9461458,0.37848255
49,365,3.1683554e-05,0.9649108,0.38598335
49,679,2.340627e-05,0.9598394,0.38394982
49,788,2.340627e-05,0.95935553,0.38375625
50,465,1.3394276e-05,0.9987137,0.39949352
50,505,1.321158e-05,0.97800076,0.39120823
50,1183,1.3165384e-05,0.97242206,0.38897672
51,157,7.8110366e-05,1.0,0.40004689
51,160,8.437278e-05,1.0,0.40005064
51,925,5.9957183e-05,0.977097,0.39087477
52,95,2.6672778e-05,0.97634816,0.39055526
52,1250,2.3064262e-05,0.97260004,0.38905385
52,947,2.1918971e-05,0.95830953,0.38333696
